Sample,Condition,Tracer,compound,datatype,value
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Galactose-1-phosphate,Abund,873511785.5
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Galactose-1-phosphate,NormAbund,873511785.5
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Galactose-6-phosphate,Abund,98240.81261
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Galactose-6-phosphate,NormAbund,98240.81261
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Glucose-1-phosphate,Abund,150844534.2
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Glucose-1-phosphate,NormAbund,150844534.2
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Glucose-6-phosphate,Abund,11136309.18
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Glucose-6-phosphate,NormAbund,11136309.18
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Mannose-1-phosphate,Abund,425375.1079
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Mannose-1-phosphate,NormAbund,425375.1079
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Mannose-6-phosphate,Abund,1611682.568
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Mannose-6-phosphate,NormAbund,1611682.568
P3 Trac1,PGM1-CDG,13C6 Nutrient1,"Fructose 1,6-bisphosphate",Abund,6579813.137
P3 Trac1,PGM1-CDG,13C6 Nutrient1,"Fructose 1,6-bisphosphate",NormAbund,6579813.137
P3 Trac1,PGM1-CDG,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",Abund,1143595.876
P3 Trac1,PGM1-CDG,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",NormAbund,1143595.876
P3 Trac1,PGM1-CDG,13C6 Nutrient1,"Glucose 1,6-bisphosphate",Abund,5125863.021
P3 Trac1,PGM1-CDG,13C6 Nutrient1,"Glucose 1,6-bisphosphate",NormAbund,5125863.021
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,Abund,122657571.5
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,NormAbund,122657571.5
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate glucuronic acid,Abund,41369241.27
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate glucuronic acid,NormAbund,41369241.27
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate hexose,Abund,201781399.2
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate hexose,NormAbund,201781399.2
P3 Trac1,PGM1-CDG,13C6 Nutrient1,GDP-Fucose,Abund,2568518.31
P3 Trac1,PGM1-CDG,13C6 Nutrient1,GDP-Fucose,NormAbund,2568518.31
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Fructose-6-phosphate,Abund,111164907.7
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Fructose-6-phosphate,NormAbund,111164907.7
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Galactose-1-phosphate,Abund,995490002.5
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Galactose-1-phosphate,NormAbund,995490002.5
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Galactose-6-phosphate,Abund,287655.5897
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Galactose-6-phosphate,NormAbund,287655.5897
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Glucose-1-phosphate,Abund,152952522.6
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Glucose-1-phosphate,NormAbund,152952522.6
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Glucose-6-phosphate,Abund,11987118.5
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Glucose-6-phosphate,NormAbund,11987118.5
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Mannose-1-phosphate,Abund,430170.5413
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Mannose-1-phosphate,NormAbund,430170.5413
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Mannose-6-phosphate,Abund,1819453.211
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Mannose-6-phosphate,NormAbund,1819453.211
P3 Trac2,PGM1-CDG,13C6 Nutrient2,"Fructose 1,6-bisphosphate",Abund,7339720.841
P3 Trac2,PGM1-CDG,13C6 Nutrient2,"Fructose 1,6-bisphosphate",NormAbund,7339720.841
P3 Trac2,PGM1-CDG,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",Abund,1373416.511
P3 Trac2,PGM1-CDG,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",NormAbund,1373416.511
P3 Trac2,PGM1-CDG,13C6 Nutrient2,"Glucose 1,6-bisphosphate",Abund,6489159.44
P3 Trac2,PGM1-CDG,13C6 Nutrient2,"Glucose 1,6-bisphosphate",NormAbund,6489159.44
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,Abund,152039295.5
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,NormAbund,152039295.5
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate glucuronic acid,Abund,47106437.27
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate glucuronic acid,NormAbund,47106437.27
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate hexose,Abund,238577617.8
P3 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate hexose,NormAbund,238577617.8
P3 Trac2,PGM1-CDG,13C6 Nutrient2,GDP-Fucose,Abund,3884353.028
P3 Trac2,PGM1-CDG,13C6 Nutrient2,GDP-Fucose,NormAbund,3884353.028
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Fructose-6-phosphate,Abund,91468288.1
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Fructose-6-phosphate,NormAbund,91468288.1
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Galactose-1-phosphate,Abund,1270046260
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Galactose-1-phosphate,NormAbund,1270046260
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Galactose-6-phosphate,Abund,76177.43146
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Galactose-6-phosphate,NormAbund,76177.43146
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Glucose-1-phosphate,Abund,146248340.2
P6 Trac1,PGM1-CDG,13C6 Nutrient1,Glucose-1-phosphate,NormAbund,146248340.2
