Sample,cohort,compound,datatype,value
MCF002044_002,0,Glucuronic acid,BlankcorAbund,963127.5015815442
MCF002044_002,0,Glucuronic acid,NormAbund,1926255.0031630883
MCF002044_002,0,Mannitol,Abund,31236.78744025442
MCF002044_002,0,Mannitol,BlankcorAbund,31236.78744025442
MCF002044_002,0,Mannitol,NormAbund,62473.57488050884
MCF002044_002,0,Sorbitol,Abund,7541177.169327592
MCF002044_002,0,Sorbitol,BlankcorAbund,7456920.341070416
MCF002044_002,0,Sorbitol,NormAbund,14913840.682140833
MCF002044_003,0,13C5-D5-15N Glutamic acid,Abund,6093117
MCF002044_003,0,13C5-D5-15N Glutamic acid,BlankcorAbund,6093117
MCF002044_003,0,13C5-D5-15N Glutamic acid,NormAbund,12186234
MCF002044_003,0,D7-Glucose,Abund,1191369216
MCF002044_003,0,D7-Glucose,BlankcorAbund,1190463973.8133333
MCF002044_003,0,D7-Glucose,NormAbund,2380927947.6266665
MCF002044_003,0,Myristic acid d27,Abund,2599823.75
MCF002044_003,0,Myristic acid d27,BlankcorAbund,786440.3300000001
MCF002044_003,0,Myristic acid d27,NormAbund,1572880.6600000001
MCF002044_003,0,2-Phosphoglyceric acid,Abund,159134.1477253984
MCF002044_003,0,2-Phosphoglyceric acid,BlankcorAbund,159134.1477253984
MCF002044_003,0,2-Phosphoglyceric acid,NormAbund,318268.2954507968
MCF002044_003,0,(2 and/or 3-)Phosphoglyceric acid,Abund,2779523.4325923002
MCF002044_003,0,(2 and/or 3-)Phosphoglyceric acid,BlankcorAbund,2779523.4325923002
MCF002044_003,0,(2 and/or 3-)Phosphoglyceric acid,NormAbund,5559046.8651846005
MCF002044_003,0,D-Glyceraldehyde 3-phosphate,Abund,102312.8880475901
MCF002044_003,0,D-Glyceraldehyde 3-phosphate,BlankcorAbund,102312.8880475901
MCF002044_003,0,D-Glyceraldehyde 3-phosphate,NormAbund,204625.7760951802
MCF002044_003,0,Dihydroxyacetone phosphate,Abund,604664.5047987612
MCF002044_003,0,Dihydroxyacetone phosphate,BlankcorAbund,604664.5047987612
MCF002044_003,0,Dihydroxyacetone phosphate,NormAbund,1209329.0095975224
MCF002044_003,0,Glycerol 3-phosphate,Abund,23023269.2612297
MCF002044_003,0,Glycerol 3-phosphate,BlankcorAbund,23020400.249560002
MCF002044_003,0,Glycerol 3-phosphate,NormAbund,46040800.499120004
MCF002044_003,0,Hexose-phosphate,Abund,1445870.840057016
MCF002044_003,0,Hexose-phosphate,BlankcorAbund,1445870.840057016
MCF002044_003,0,Hexose-phosphate,NormAbund,2891741.680114032
MCF002044_003,0,Hexose,Abund,8269170117.845638
MCF002044_003,0,Hexose,BlankcorAbund,8261937431.403637
MCF002044_003,0,Hexose,NormAbund,16523874862.807274
MCF002044_003,0,L-Lactic acid,Abund,22342972.68809006
MCF002044_003,0,L-Lactic acid,BlankcorAbund,17047890.54669237
MCF002044_003,0,L-Lactic acid,NormAbund,34095781.09338474
MCF002044_003,0,Phosphoenolpyruvic acid,Abund,407843.4462850441
MCF002044_003,0,Phosphoenolpyruvic acid,BlankcorAbund,407843.4462850441
MCF002044_003,0,Phosphoenolpyruvic acid,NormAbund,815686.8925700882
MCF002044_003,0,Pyruvic acid,Abund,210045.4913837728
MCF002044_003,0,Pyruvic acid,BlankcorAbund,115840.34842061698
MCF002044_003,0,Pyruvic acid,NormAbund,231680.69684123396
MCF002044_003,0,Citric acid,Abund,5808863.751667434
MCF002044_003,0,Citric acid,BlankcorAbund,5678608.219657511
MCF002044_003,0,Citric acid,NormAbund,11357216.439315023
MCF002044_003,0,Fumaric acid,Abund,1186391.57975647
MCF002044_003,0,Fumaric acid,BlankcorAbund,800167.8323738533
MCF002044_003,0,Fumaric acid,NormAbund,1600335.6647477066
MCF002044_003,0,L-Malic acid,Abund,25204955.86864861
MCF002044_003,0,L-Malic acid,BlankcorAbund,24852835.76028108
MCF002044_003,0,L-Malic acid,NormAbund,49705671.52056216
MCF002044_003,0,Oxoglutaric acid,Abund,525150.1168990482
MCF002044_003,0,Oxoglutaric acid,BlankcorAbund,525150.1168990482
MCF002044_003,0,Oxoglutaric acid,NormAbund,1050300.2337980964
MCF002044_003,0,Succinic acid,Abund,8426525.509105649
MCF002044_003,0,Succinic acid,BlankcorAbund,5848081.224152157
MCF002044_003,0,Succinic acid,NormAbund,11696162.448304314
MCF002044_003,0,Glycine,Abund,22024254.21472683
MCF002044_003,0,Glycine,BlankcorAbund,19835283.268235847
MCF002044_003,0,Glycine,NormAbund,39670566.536471695
MCF002044_003,0,L-Alanine,Abund,12848447.19309574
MCF002044_003,0,L-Alanine,BlankcorAbund,11081585.986262782
MCF002044_003,0,L-Alanine,NormAbund,22163171.972525563
MCF002044_003,0,L-Asparagine,Abund,27251.71155591386
MCF002044_003,0,L-Asparagine,BlankcorAbund,-2015.8328419400714
MCF002044_003,0,L-Asparagine,NormAbund,-4031.6656838801428
MCF002044_003,0,L-Aspartic acid,Abund,25796804.02835965
MCF002044_003,0,L-Aspartic acid,BlankcorAbund,25796804.02835965
MCF002044_003,0,L-Aspartic acid,NormAbund,51593608.0567193
MCF002044_003,0,L-Cysteine,Abund,2501856.579333515
MCF002044_003,0,L-Cysteine,BlankcorAbund,2486237.2442906355
MCF002044_003,0,L-Cysteine,NormAbund,4972474.488581271
MCF002044_003,0,L-Glutamic acid,Abund,67869805.32757434
MCF002044_003,0,L-Glutamic acid,BlankcorAbund,67869805.32757434
MCF002044_003,0,L-Glutamic acid,NormAbund,135739610.65514868
MCF002044_003,0,L-Isoleucine,Abund,1799230.999257465
MCF002044_003,0,L-Isoleucine,BlankcorAbund,1140471.293797635
MCF002044_003,0,L-Isoleucine,NormAbund,2280942.58759527
MCF002044_003,0,L-Leucine,Abund,1328386.360307261
MCF002044_003,0,L-Leucine,BlankcorAbund,1127160.101097179
MCF002044_003,0,L-Leucine,NormAbund,2254320.202194358
MCF002044_003,0,L-Lysine,Abund,766916.4726518122
MCF002044_003,0,L-Lysine,BlankcorAbund,766916.4726518122
MCF002044_003,0,L-Lysine,NormAbund,1533832.9453036245
