"","compound","datatype","cohort","P_RA","Abund","Labeling","Fraction","label_cont","P_FC","lab_label","lablab_posAngle","lablab_posDist","P_lablab","P_RAlab"
"88","L-Cysteine","FracCont","0.5*",0.0320237403504859,0.917272273156825,"Unlabeled",0.901657778659537,0.983,NA,"",0,0,"","pRA=0.03*"
"89","L-Cysteine","FracCont","1*",0.0108651004759893,1,"Labeled",0.0179294263927815,0.018,0.0495346134356268,"1.8%",0,0,"P_FC=0.05*","pRA=0.01*"
"90","L-Cysteine","FracCont","1*",0.0108651004759893,1,"Unlabeled",0.982070573607218,0.982,NA,"",0,0,"","pRA=0.01*"
"91","L-Glutamic acid","FracCont","0.5*",0.00269331048586818,0.642587358398664,"Labeled",0.000281820931060685,0,0.512690760261924,"0%",0,0,"P_FC=0.51","pRA=0*"
"92","L-Glutamic acid","FracCont","0.5*",0.00269331048586818,0.642587358398664,"Unlabeled",0.642305537467604,1,NA,"",0,0,"","pRA=0*"
"93","L-Glutamic acid","FracCont","1*",0.000105745170236085,1,"Labeled",0.000356668304124712,0,0.275233524074834,"0%",0,0,"P_FC=0.28","pRA=0*"
"94","L-Glutamic acid","FracCont","1*",0.000105745170236085,1,"Unlabeled",0.999643331695875,1,NA,"",0,0,"","pRA=0*"
"95","L-Isoleucine","FracCont","0.5*",0.00223248967195541,0.613898529173296,"Labeled",0.00887402542375567,0.014,0.0495346134356268,"1.4%",0,0,"P_FC=0.05*","pRA=0*"
"96","L-Isoleucine","FracCont","0.5*",0.00223248967195541,0.613898529173296,"Unlabeled",0.605024503749541,0.986,NA,"",0,0,"","pRA=0*"
"97","L-Isoleucine","FracCont","1*",6.07483366739241e-05,1,"Labeled",0.00755181113695066,0.008,0.0495346134356268,"0.8%",0,0,"P_FC=0.05*","pRA=0*"
"98","L-Isoleucine","FracCont","1*",6.07483366739241e-05,1,"Unlabeled",0.992448188863049,0.992,NA,"",0,0,"","pRA=0*"
"99","L-Lactic acid","FracCont","0.5*",0.947357240124665,0.809671574358299,"Labeled",0.0498452199881267,0.062,0.0495346134356268,"6.2%",0,0,"P_FC=0.05*","pRA=0.95"
"100","L-Lactic acid","FracCont","0.5*",0.947357240124665,0.809671574358299,"Unlabeled",0.759826354370173,0.938,NA,"",0,0,"","pRA=0.95"
"101","L-Lactic acid","FracCont","1*",0.35356716228642,1,"Labeled",0.192868538083676,0.193,0.0495346134356268,"19.3%",0,0,"P_FC=0.05*","pRA=0.35"
"102","L-Lactic acid","FracCont","1*",0.35356716228642,1,"Unlabeled",0.807131461916324,0.807,NA,"",0,0,"","pRA=0.35"
"103","L-Leucine","FracCont","0.5",0.0642834532240393,0.68404157645577,"Labeled",0.00303304299623992,0.004,0.275233524074834,"0.4%",0,0,"P_FC=0.28","pRA=0.06"
"104","L-Leucine","FracCont","0.5",0.0642834532240393,0.68404157645577,"Unlabeled",0.68100853345953,0.996,NA,"",0,0,"","pRA=0.06"
"105","L-Leucine","FracCont","1*",0.00898691958398831,1,"Labeled",0.00144590177910507,0.001,0.0495346134356268,"0.1%",0,0,"P_FC=0.05*","pRA=0.01*"
"106","L-Leucine","FracCont","1*",0.00898691958398831,1,"Unlabeled",0.998554098220895,0.999,NA,"",0,0,"","pRA=0.01*"
"107","L-Lysine","FracCont","0.5*",0.00644179383321211,0.761643536810645,"Labeled",0.00038515661444146,0.001,0.827259346562712,"0.1%",0,0,"P_FC=0.83","pRA=0.01*"
"108","L-Lysine","FracCont","0.5*",0.00644179383321211,0.761643536810645,"Unlabeled",0.761258380196204,0.999,NA,"",0,0,"","pRA=0.01*"
