"","compound","datatype","cohort","P","average"
"158","Glucose","Isotopologue_C13-2","1",0.275233524074834,-4.53709292292586e-05
"159","Glucose","Isotopologue_C13-3","0.5",0.0495346134356268,6.13222639948586e-05
"160","Glucose","Isotopologue_C13-3","1",0.0495346134356268,0.000339344377543105
"161","Glucose","Isotopologue_C13-4","0.5",0.512690760261924,0.000535144132663125
"162","Glucose","Isotopologue_C13-4","1",0.512690760261924,0.000528665535601323
"163","Glucose","Isotopologue_C13-5","0.5",0.512690760261924,-0.0166709048895429
"164","Glucose","Isotopologue_C13-5","1",0.512690760261924,-0.0165562880744146
"165","Glucose","Isotopologue_C13-6","0.5",0.0495346134356268,1.00619137202927
"166","Glucose","Isotopologue_C13-6","1",0.0495346134356268,1.00405899788917
"167","Glucuronic acid","FracCont","0.5",0.512690760261924,0.00633610699014753
"168","Glucuronic acid","FracCont","1",0.275233524074834,0.00406392924629911
"169","Glucuronic acid","Isotopologue_C13-0","0.5",0.0495346134356268,1.01522970255776
"170","Glucuronic acid","Isotopologue_C13-0","1",0.0495346134356268,1.01695879939789
"171","Glucuronic acid","Isotopologue_C13-1","0.5",0.0495346134356268,-0.00813082602635754
"172","Glucuronic acid","Isotopologue_C13-1","1",0.0495346134356268,-0.010063417960031
"173","Glucuronic acid","Isotopologue_C13-2","0.5",0.275233524074834,-0.00612629900282511
"174","Glucuronic acid","Isotopologue_C13-2","1",0.126630457947616,-0.00453772519910278
"175","Glucuronic acid","Isotopologue_C13-3","0.5",0.0495346134356268,0.00170216387088197
"176","Glucuronic acid","Isotopologue_C13-3","1",0.0495346134356268,-0.000450064245062851
"177","Glucuronic acid","Isotopologue_C13-4","0.5",0.0495346134356268,-0.00349551672746977
"178","Glucuronic acid","Isotopologue_C13-4","1",0.0495346134356268,-0.00322671870609586
"179","Glucuronic acid","Isotopologue_C13-5","0.5",0.0495346134356268,-0.00466424972669142
"180","Glucuronic acid","Isotopologue_C13-5","1",0.827259346562712,-0.00172742523046399
"181","Glucuronic acid","Isotopologue_C13-6","0.5",0.512690760261924,0.00548502505470655
"182","Glucuronic acid","Isotopologue_C13-6","1",0.512690760261924,0.0030465519428639
"183","Glycerol 3-phosphate","FracCont","0.5",0.275233524074834,0.0119467295131441
"184","Glycerol 3-phosphate","FracCont","1",0.827259346562712,0.00813894673929035
"185","Glycerol 3-phosphate","Isotopologue_C13-0","0.5",0.0495346134356268,1.02407425589367
"186","Glycerol 3-phosphate","Isotopologue_C13-0","1",0.0495346134356268,1.02435953649874
"187","Glycerol 3-phosphate","Isotopologue_C13-1","0.5",0.126630457947616,-0.0162295139581773
"188","Glycerol 3-phosphate","Isotopologue_C13-1","1",0.0495346134356268,-0.0131596509939814
"189","Glycerol 3-phosphate","Isotopologue_C13-2","0.5",0.0495346134356268,-0.0197914714486335
"190","Glycerol 3-phosphate","Isotopologue_C13-2","1",0.0495346134356268,-0.019338832244052
"191","Glycerol 3-phosphate","Isotopologue_C13-3","0.5",0.275233524074834,0.0119467295131441
"192","Glycerol 3-phosphate","Isotopologue_C13-3","1",0.827259346562712,0.00813894673929035
"193","Glycine","FracCont","0.5",1,0
"194","Glycine","FracCont","1",1,0
"195","Glycine","Isotopologue_C13-0","0.5",0.512690760261924,1.01594330699838
