"","compound","datatype","Isotopologue","cohort","P_RA","Abund","Fraction","label_cont","P_iso","lab_label","lablab_posAngle","lablab_posDist","P_lablab","P_RAlab"
"76","Fructose","Isotopologue","C13-3","1",0.758683831929515,0.837487726637912,0,0,0.126630457947616,"<0.05%",-7.729,0.7,"P_iso=0.13","pRA=0.76"
"77","Fructose","Isotopologue","C13-4","0.5",0.293056104198435,1,0,0,0.126630457947616,"<0.05%",-7.716,0.7,"P_iso=0.13","pRA=0.29"
"78","Fructose","Isotopologue","C13-4","1",0.758683831929515,0.837487726637912,0,0,0.275233524074834,"<0.05%",-7.729,0.7,"P_iso=0.28","pRA=0.76"
"79","Fructose","Isotopologue","C13-5","0.5",0.293056104198435,1,0,0,0.827259346562712,"<0.05%",-7.716,0.7,"P_iso=0.83","pRA=0.29"
"80","Fructose","Isotopologue","C13-5","1",0.758683831929515,0.837487726637912,0,0,0.827259346562712,"<0.05%",-7.729,0.7,"P_iso=0.83","pRA=0.76"
"81","Fructose","Isotopologue","C13-6","0.5",0.293056104198435,1,0.285203343894703,0.285,0.126630457947616,"28.5%",-7.8585,0.7,"P_iso=0.13","pRA=0.29"
"82","Fructose","Isotopologue","C13-6","1",0.758683831929515,0.837487726637912,0.227030679882334,0.271,0.827259346562712,"27.1%",-7.8645,0.7,"P_iso=0.83","pRA=0.76"
"83","Fucose","Isotopologue","C13-0","0.5",0.131794716535176,0.877019832827315,0.872787436189087,0.995,0.0495346134356268,"99.5%",-8.4985,0.7,"P_iso=0.05*","pRA=0.13"
"84","Fucose","Isotopologue","C13-0","1",0.0538429951165998,1,1,1,0.0495346134356268,"100%",-8.5,0,"P_iso=0.05*","pRA=0.05"
"85","Fucose","Isotopologue","C13-1","0.5",0.131794716535176,0.877019832827315,0,0,0.0495346134356268,"<0.05%",-8.996,0.7,"P_iso=0.05*","pRA=0.13"
"86","Fucose","Isotopologue","C13-1","1",0.0538429951165998,1,0,0,0.0495346134356268,"<0.05%",-9,0.7,"P_iso=0.05*","pRA=0.05"
"87","Fucose","Isotopologue","C13-2","0.5",0.131794716535176,0.877019832827315,0,0,0.827259346562712,"<0.05%",-8.996,0.7,"P_iso=0.83","pRA=0.13"
"88","Fucose","Isotopologue","C13-2","1",0.0538429951165998,1,0,0,0.512690760261924,"<0.05%",-9,0.7,"P_iso=0.51","pRA=0.05"
"89","Fucose","Isotopologue","C13-3","0.5",0.131794716535176,0.877019832827315,0,0,0.275233524074834,"<0.05%",-8.996,0.7,"P_iso=0.28","pRA=0.13"
"90","Fucose","Isotopologue","C13-3","1",0.0538429951165998,1,0,0,0.512690760261924,"<0.05%",-9,0.7,"P_iso=0.51","pRA=0.05"
"91","Fucose","Isotopologue","C13-4","0.5",0.131794716535176,0.877019832827315,0.00423239663822821,0.005,0.827259346562712,"0.5%",-8.9985,0.7,"P_iso=0.83","pRA=0.13"
"92","Fucose","Isotopologue","C13-4","1",0.0538429951165998,1,0,0,0.827259346562712,"<0.05%",-9,0.7,"P_iso=0.83","pRA=0.05"
"93","Fucose","Isotopologue","C13-5","0.5",0.131794716535176,0.877019832827315,0,0,0.275233524074834,"<0.05%",-9.001,0.7,"P_iso=0.28","pRA=0.13"
"94","Fucose","Isotopologue","C13-5","1",0.0538429951165998,1,0,0,0.512690760261924,"<0.05%",-9,0.7,"P_iso=0.51","pRA=0.05"
"95","Fucose","Isotopologue","C13-6","0.5",0.131794716535176,0.877019832827315,0,0,0.275233524074834,"<0.05%",-9.001,0.7,"P_iso=0.28","pRA=0.13"
"96","Fucose","Isotopologue","C13-6","1",0.0538429951165998,1,0,0,0.512690760261924,"<0.05%",-9,0.7,"P_iso=0.51","pRA=0.05"
"97","Fumaric acid","Isotopologue","C13-0","0.5",0.0383794623290771,0.893998376449479,0.886669248096911,0.992,0.827259346562712,"99.2%",-9.497,0.7,"P_iso=0.83","pRA=0.04*"
"98","Fumaric acid","Isotopologue","C13-0","1",0.0153314900388413,1,0.991842839494325,0.992,0.827259346562712,"99.2%",-9.496,0.7,"P_iso=0.83","pRA=0.02*"
"99","Fumaric acid","Isotopologue","C13-1","0.5",0.0383794623290771,0.893998376449479,0,0,0.512690760261924,"<0.05%",-9.993,0.7,"P_iso=0.51","pRA=0.04*"
"100","Fumaric acid","Isotopologue","C13-1","1",0.0153314900388413,1,0,0,0.827259346562712,"<0.05%",-9.992,0.7,"P_iso=0.83","pRA=0.02*"
"101","Fumaric acid","Isotopologue","C13-2","0.5",0.0383794623290771,0.893998376449479,0,0,0.512690760261924,"<0.05%",-9.993,0.7,"P_iso=0.51","pRA=0.04*"
"102","Fumaric acid","Isotopologue","C13-2","1",0.0153314900388413,1,0,0,0.512690760261924,"<0.05%",-9.992,0.7,"P_iso=0.51","pRA=0.02*"
"103","Fumaric acid","Isotopologue","C13-3","0.5",0.0383794623290771,0.893998376449479,0,0,0.827259346562712,"<0.05%",-9.993,0.7,"P_iso=0.83","pRA=0.04*"
"104","Fumaric acid","Isotopologue","C13-3","1",0.0153314900388413,1,0,0,0.827259346562712,"<0.05%",-9.992,0.7,"P_iso=0.83","pRA=0.02*"
"105","Fumaric acid","Isotopologue","C13-4","0.5",0.0383794623290771,0.893998376449479,0.00732912835256797,0.008,0.0495346134356268,"0.8%",-9.997,0.7,"P_iso=0.05*","pRA=0.04*"
"106","Fumaric acid","Isotopologue","C13-4","1",0.0153314900388413,1,0.00815716050567521,0.008,0.0495346134356268,"0.8%",-9.996,0.7,"P_iso=0.05*","pRA=0.02*"
"107","Galacturonic acid","Isotopologue","C13-0","0.5",0.00907313692540721,0.0608338803973543,0,0,0,"<0.05%",-10.001,0.7,"P_iso=0*","pRA=0.01*"
"108","Galacturonic acid","Isotopologue","C13-1","0.5",0.00907313692540721,0.0608338803973543,0,0,0.317310507862914,"<0.05%",-10.001,0.7,"P_iso=0.32","pRA=0.01*"
"109","Galacturonic acid","Isotopologue","C13-2","0.5",0.00907313692540721,0.0608338803973543,0,0,1,"<0.05%",-10.001,0.7,"P_iso=1","pRA=0.01*"
"110","Galacturonic acid","Isotopologue","C13-3","0.5",0.00907313692540721,0.0608338803973543,0,0,1,"<0.05%",-10.001,0.7,"P_iso=1","pRA=0.01*"
"111","Galacturonic acid","Isotopologue","C13-4","0.5",0.00907313692540721,0.0608338803973543,0,0,NA,"<0.05%",-10.001,0.7,"","pRA=0.01*"
"112","Galacturonic acid","Isotopologue","C13-5","0.5",0.00907313692540721,0.0608338803973543,0.0608338803973543,1,0,"100%",-10.501,0,"P_iso=0*","pRA=0.01*"
"113","Galacturonic acid","Isotopologue","C13-6","0.5",0.00907313692540721,0.0608338803973543,0,0,0,"<0.05%",-11.001,0.7,"P_iso=0*","pRA=0.01*"
"114","Glucose","Isotopologue","C13-0","0.5",0.404805230133251,1,0.00978929726558638,0.01,0.0495346134356268,"1%",-11.006,0.7,"P_iso=0.05*","pRA=0.4"
